"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
mid west,Some,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,55409,Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,50021,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55337,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,West North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,56215,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,West North Central
Kansas,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,67204,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,West North Central
snooty and unfriendly,Some,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55902,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,68154,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,West North Central
Upper Midwest,A lot,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,58201,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,64801,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,West North Central
North,Some,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,58701,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,West North Central
midwest,A lot,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50554,Female,> 60,"$0 - $24,999",Associate or bachelor degree,West North Central
fly over country!!,A lot,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,56001,Female,> 60,"$0 - $24,999",Associate or bachelor degree,West North Central
middle midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,66048,Male,45-60,"$0 - $24,999",Associate or bachelor degree,West North Central
Upper midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,55923,Male,30-44,"$0 - $24,999",Associate or bachelor degree,West North Central
the mid-west,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,68502,Female,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55116,Female,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55805,Female,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Midwest,Some,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55408,Female,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Midwest,Some,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,58504,Female,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,55406,Female,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,68506,Male,18-29,"$0 - $24,999",Associate or bachelor degree,West North Central
Mid West,A lot,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,65202,Female,> 60,"$150,000+",Some college,West North Central
midwest,Some,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,66111,Female,> 60,"$150,000+",Some college,West North Central
The Midwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,57103,Female,45-60,"$150,000+",Some college,West North Central
Midwest,Not much,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55426,Female,45-60,"$150,000+",Some college,West North Central
midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,64060,Female,45-60,"$150,000+",Some college,West North Central
"Has it all!  Spring, summer, fall and winter all offer things to do.",A lot,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,55447,Female,45-60,"$150,000+",Some college,West North Central
Mid west,Some,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,65758,Female,45-60,"$150,000+",Some college,West North Central
Northern midwest,Some,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,56297,Female,45-60,"$150,000+",Some college,West North Central
midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,64060,Female,45-60,"$150,000+",Some college,West North Central
Midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,63038,Female,45-60,"$150,000+",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55009,Male,45-60,"$150,000+",Some college,West North Central
Central States or Mid South,Some,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,64151,Male,45-60,"$150,000+",Some college,West North Central
midwest,Some,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,52776,Male,45-60,"$150,000+",Some college,West North Central
Cold,Not much,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55432,Female,30-44,"$150,000+",Some college,West North Central
Midwest US,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,55946,Female,30-44,"$150,000+",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55378,Female,30-44,"$150,000+",Some college,West North Central
MidWest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,63102,Female,30-44,"$150,000+",Some college,West North Central
nidwest,A lot,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,50161,Male,30-44,"$150,000+",Some college,West North Central
Upper MIdwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,55425,Male,30-44,"$150,000+",Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55327,Female,18-29,"$150,000+",Some college,West North Central
The Great Plains,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,68850,Female,18-29,"$150,000+",Some college,West North Central
Midwest,Some,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,55077,Female,18-29,"$150,000+",Some college,West North Central
North Central,A lot,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,58203,Male,18-29,"$150,000+",Some college,West North Central
Mid west,Some,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,63376,Male,18-29,"$150,000+",Some college,West North Central
missiouri,Some,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,65807,Male,18-29,"$150,000+",Some college,West North Central
Midwest,Some,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,57103,Male,18-29,"$150,000+",Some college,West North Central
MidWest,A lot,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,67561,Female,> 60,"$100,000 - $149,999",Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,50266,Female,> 60,"$100,000 - $149,999",Some college,West North Central
The midwest.,Some,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,64468,Female,> 60,"$100,000 - $149,999",Some college,West North Central
Midwest,A lot,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55008,Male,> 60,"$100,000 - $149,999",Some college,West North Central
midwest,Some,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,64836,Male,> 60,"$100,000 - $149,999",Some college,West North Central
Midwest,A lot,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,52057,Female,45-60,"$100,000 - $149,999",Some college,West North Central
The Midwest.,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,63368,Female,45-60,"$100,000 - $149,999",Some college,West North Central
North Central,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55416,Male,45-60,"$100,000 - $149,999",Some college,West North Central
Midwest,Some,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,55117,Female,30-44,"$100,000 - $149,999",Some college,West North Central
Northern Plains,A lot,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55412,Male,30-44,"$100,000 - $149,999",Some college,West North Central
Midwest/ frozen tundra,A lot,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,55024,Female,18-29,"$100,000 - $149,999",Some college,West North Central
Midwest,Some,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,55431,Female,18-29,"$100,000 - $149,999",Some college,West North Central
Midwest,Not much,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55474,Female,> 60,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,63348,Female,> 60,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,56377,Female,> 60,"$50,000 - $99,999",Some college,West North Central
Upper Midwest,A lot,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55408,Female,> 60,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55102,Female,> 60,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,63366,Female,> 60,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,64118,Male,> 60,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,50219,Male,> 60,"$50,000 - $99,999",Some college,West North Central
Great Midwest,A lot,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,67204,Male,> 60,"$50,000 - $99,999",Some college,West North Central
the Midwest,A lot,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,66213,Male,> 60,"$50,000 - $99,999",Some college,West North Central
high plains,Some,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,51142,Male,> 60,"$50,000 - $99,999",Some college,West North Central
Midwest North America,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,50265,Female,45-60,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,52172,Female,45-60,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,64030,Female,45-60,"$50,000 - $99,999",Some college,West North Central
Midwest USA,A lot,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,68433,Female,45-60,"$50,000 - $99,999",Some college,West North Central
the midwest,A lot,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55431,Female,45-60,"$50,000 - $99,999",Some college,West North Central
Central United States,Some,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,66427,Female,45-60,"$50,000 - $99,999",Some college,West North Central
mid-west,Some,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,67401,Female,45-60,"$50,000 - $99,999",Some college,West North Central
I will call the The solitary streets,Some,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,65704,Female,45-60,"$50,000 - $99,999",Some college,West North Central
USA,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,50320,Male,45-60,"$50,000 - $99,999",Some college,West North Central
northern midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,55303,Male,45-60,"$50,000 - $99,999",Some college,West North Central
Mid West,A lot,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,65251,Male,45-60,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,63304,Male,45-60,"$50,000 - $99,999",Some college,West North Central
Midwest,Some,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,58103,Male,45-60,"$50,000 - $99,999",Some college,West North Central
Midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,66614,Male,45-60,"$50,000 - $99,999",Some college,West North Central
Smack dab in the middle.,A lot,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,63010,Female,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,64117,Female,30-44,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,63755,Female,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,63376,Female,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,56601,Female,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest/Northern Plains,A lot,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,58102,Female,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,52404,Female,30-44,"$50,000 - $99,999",Some college,West North Central
midwest,Some,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,66053,Female,30-44,"$50,000 - $99,999",Some college,West North Central
Midwestern,Not at all,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,64801,Female,30-44,"$50,000 - $99,999",Some college,West North Central
north central,Not much,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,56201,Male,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55444,Male,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55113,Male,30-44,"$50,000 - $99,999",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,68136,Male,30-44,"$50,000 - $99,999",Some college,West North Central
cold,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,55904,Male,30-44,"$50,000 - $99,999",Some college,West North Central
Upper midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55110,Male,30-44,"$50,000 - $99,999",Some college,West North Central
The upper Midwest,A lot,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55120,Female,18-29,"$50,000 - $99,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,65201,Female,18-29,"$50,000 - $99,999",Some college,West North Central
Minne-snow-ta,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55105,Male,18-29,"$50,000 - $99,999",Some college,West North Central
home,A lot,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,52807,Female,> 60,"$25,000 - $49,999",Some college,West North Central
midwesr,A lot,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,56215,Female,> 60,"$25,000 - $49,999",Some college,West North Central
nORTHERN mINNESOTA,Some,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55427,Female,> 60,"$25,000 - $49,999",Some college,West North Central
midwesr,A lot,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,56215,Male,> 60,"$25,000 - $49,999",Some college,West North Central
"Best of the Midwest, Iowa.",Some,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,52722,Male,> 60,"$25,000 - $49,999",Some college,West North Central
"Not the Midwest, but ""Minnesota"".  I don't consider MN 'west'.",Not much,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,55033,Female,45-60,"$25,000 - $49,999",Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,64776,Female,45-60,"$25,000 - $49,999",Some college,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,68506,Female,45-60,"$25,000 - $49,999",Some college,West North Central
Midwest. The Heartland.,A lot,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,66062,Female,45-60,"$25,000 - $49,999",Some college,West North Central
Central united States,Some,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,65753,Female,45-60,"$25,000 - $49,999",Some college,West North Central
great plains,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,67211,Female,45-60,"$25,000 - $49,999",Some college,West North Central
mid west,Some,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,57401,Male,45-60,"$25,000 - $49,999",Some college,West North Central
North,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,55066,Female,30-44,"$25,000 - $49,999",Some college,West North Central
midwest,A lot,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55447,Female,30-44,"$25,000 - $49,999",Some college,West North Central
Midwest,Some,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55301,Female,30-44,"$25,000 - $49,999",Some college,West North Central
Upper mid-west,Some,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55113,Female,30-44,"$25,000 - $49,999",Some college,West North Central
Midwest,Some,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,65802,Female,30-44,"$25,000 - $49,999",Some college,West North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55033,Female,30-44,"$25,000 - $49,999",Some college,West North Central
Frigid and liberal,Some,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,55116,Female,30-44,"$25,000 - $49,999",Some college,West North Central
Great,Not at all,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,67401,Male,30-44,"$25,000 - $49,999",Some college,West North Central
Upper Plains,Not much,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,57384,Male,30-44,"$25,000 - $49,999",Some college,West North Central
midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,68106,Male,30-44,"$25,000 - $49,999",Some college,West North Central
Midwest,Some,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,55427,Male,30-44,"$25,000 - $49,999",Some college,West North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,65202,Male,30-44,"$25,000 - $49,999",Some college,West North Central
Upper Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,55420,Female,18-29,"$25,000 - $49,999",Some college,West North Central
Midwest,Not much,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,56265,Female,18-29,"$25,000 - $49,999",Some college,West North Central
The middle of the middle,A lot,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,67210,Female,18-29,"$25,000 - $49,999",Some college,West North Central
mid-west,Some,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55124,Female,18-29,"$25,000 - $49,999",Some college,West North Central
Promise Land,Not much,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,67022,Male,18-29,"$25,000 - $49,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,55101,Male,18-29,"$25,000 - $49,999",Some college,West North Central
midwest,A lot,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,68505,Male,18-29,"$25,000 - $49,999",Some college,West North Central
Horrible winters here in MN and wonder every year why I am doing this?   The season changes are marvelous and we all appreciate them so much.,A lot,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,55122,Female,> 60,"$0 - $24,999",Some college,West North Central
Very rural red neck backwoods america.,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,66935,Female,> 60,"$0 - $24,999",Some college,West North Central
Semi progressive. Safe. Artistic. Intelligent.,A lot,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55407,Male,> 60,"$0 - $24,999",Some college,West North Central
North Midwestern-scenic beauty,Some,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,55904,Male,> 60,"$0 - $24,999",Some college,West North Central
North central America,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,55051,Female,45-60,"$0 - $24,999",Some college,West North Central
Great Plains,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,66512,Female,45-60,"$0 - $24,999",Some college,West North Central
Midwest,A lot,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,68048,Female,45-60,"$0 - $24,999",Some college,West North Central
Fantastic!,A lot,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,50317,Female,45-60,"$0 - $24,999",Some college,West North Central
