N,TREE,BR,TL,IN,INTERNODE_1,INTERNODE_2,INTERNODE_3,INTERNODE_4,INTERNODE_5,INTERNODE_6,INTERNODE_7,INTERNODE_8,INTERNODE_9,INTERNODE_10,INTERNODE_11,INTERNODE_12,INTERNODE_13,INTERNODE_14,INTERNODE_15,INTERNODE_16,INTERNODE_17,INTERNODE_18,INTERNODE_19,INTERNODE_20,INTERNODE_21,INTERNODE_22,INTERNODE_23,INTERNODE_24,INTERNODE_25,INTERNODE_26,INTERNODE_27,INTERNODE_28,INTERNODE_29,binaryClass
432.0,O27,A,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
433.0,O27,A,39.0,8,0.3,2.1,7.6,10.1,8.3,6.3,3.1,1.3,,,,,,,,,,,,,,,,,,,,,,N
434.0,O27,A,19.5,6,0.3,2.2,6.6,6.6,3.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
435.0,O27,A,37.0,8,0.6,3.2,8.1,9.3,7.1,5.2,2.5,0.7,,,,,,,,,,,,,,,,,,,,,,N
436.0,O27,B,95.0,17,0.6,3.0,9.2,10.5,9.2,9.1,8.2,7.2,7.3,6.4,7.0,5.2,4.3,3.7,2.3,1.6,0.3,,,,,,,,,,,,,N
437.0,O27,B,12.0,4,0.3,1.2,5.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,N
438.0,O27,B,34.0,7,0.2,1.8,8.2,10.6,7.5,4.0,1.5,,,,,,,,,,,,,,,,,,,,,,,N
439.0,O27,B,13.0,5,0.3,2.0,6.2,3.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,N
440.0,O27,B,39.0,8,0.3,2.6,10.1,10.8,7.8,4.5,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,N
441.0,O27,B,20.0,6,0.6,1.6,7.8,7.3,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
442.0,O27,B,40.0,9,0.5,3.1,10.3,10.1,7.4,4.4,2.8,1.5,0.3,,,,,,,,,,,,,,,,,,,,,N
443.0,O27,C,123.0,20,1.4,4.0,10.7,12.0,11.3,10.8,8.6,8.1,7.1,6.0,7.6,5.7,6.1,6.0,5.5,4.0,3.2,2.6,1.7,0.2,,,,,,,,,,N
444.0,O27,C,2.0,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
445.0,O27,C,5.0,4,0.3,0.8,2.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
446.0,O27,C,15.0,6,0.3,1.5,5.8,5.1,2.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,N
447.0,O27,C,28.0,8,0.3,1.0,5.5,7.6,6.8,4.6,1.6,0.4,,,,,,,,,,,,,,,,,,,,,,N
448.0,O27,C,23.0,7,0.4,1.3,5.8,7.7,5.6,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,N
449.0,O27,C,6.0,5,0.2,0.6,2.2,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,N
450.0,O27,C,2.0,4,0.2,0.6,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
451.0,O27,C,53.0,10,0.4,2.2,7.3,11.1,9.2,8.5,6.6,4.4,2.5,1.1,,,,,,,,,,,,,,,,,,,,N
452.0,O27,C,46.0,9,0.4,2.1,7.1,9.9,9.2,7.6,5.1,3.4,1.1,,,,,,,,,,,,,,,,,,,,,N
453.0,O27,D,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
454.0,O27,D,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
455.0,O27,D,1.0,3,0.3,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
456.0,O27,D,3.0,4,0.2,0.9,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
457.0,O27,D,9.0,4,0.4,1.6,5.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,N
458.0,O27,D,34.0,8,0.2,1.5,7.1,9.1,7.1,4.6,3.0,1.7,,,,,,,,,,,,,,,,,,,,,,N
459.0,O27,D,36.0,8,0.3,2.0,7.8,9.7,8.1,5.5,2.0,0.6,,,,,,,,,,,,,,,,,,,,,,N
460.0,O27,D,67.0,15,0.6,1.9,6.9,8.3,7.2,6.5,4.6,5.2,5.5,5.4,5.1,5.5,3.1,1.3,0.3,,,,,,,,,,,,,,,N
461.0,O27,E,65.0,11,1.1,4.8,9.6,10.8,8.6,7.8,6.3,5.8,5.7,3.2,1.5,,,,,,,,,,,,,,,,,,,N
462.0,O27,E,146.0,25,0.6,3.5,10.3,12.1,10.3,9.5,9.0,9.6,9.2,8.0,9.3,9.4,9.3,8.5,5.9,5.1,4.5,3.4,2.9,2.0,1.2,0.8,0.6,0.7,0.3,,,,,N
463.0,O27,F,5.0,4,0.2,1.0,2.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
464.0,O27,F,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
465.0,O27,F,3.0,4,0.3,1.2,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
466.0,O27,F,2.0,3,0.3,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N
467.0,O27,F,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
468.0,O27,F,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
469.0,O27,F,46.0,11,0.3,2.0,7.2,8.8,7.2,6.6,5.0,3.6,3.0,1.8,0.4,,,,,,,,,,,,,,,,,,,N
470.0,D20,A,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
471.0,D20,A,6.0,4,0.9,2.1,3.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
472.0,D20,A,16.0,4,0.6,3.1,6.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
473.0,D20,B,3.0,3,0.8,1.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
474.0,D20,B,3.0,3,0.6,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N
475.0,D20,B,2.0,3,0.6,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
476.0,D20,B,1.5,3,0.3,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
477.0,D20,B,3.0,3,0.6,1.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
478.0,D20,B,2.0,3,0.4,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
479.0,D20,B,5.0,4,0.6,1.2,2.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,N
480.0,D20,B,2.0,3,0.5,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
481.0,D20,C,4.5,3,0.6,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
482.0,D20,C,17.5,6,0.5,2.0,6.5,6.1,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
483.0,D20,C,5.0,5,0.4,0.7,2.0,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
484.0,D20,C,16.0,6,0.8,2.5,5.8,4.5,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
485.0,D20,C,35.0,10,0.8,2.6,6.2,7.6,5.4,5.6,3.4,2.0,1.3,0.5,,,,,,,,,,,,,,,,,,,,N
486.0,D20,D,5.0,4,0.4,1.8,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,N
487.0,D20,D,1.5,2,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
488.0,D20,D,5.0,5,0.5,0.9,1.1,1.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,N
489.0,D20,D,2.0,3,0.3,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
490.0,D20,D,4.0,3,1.0,2.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
491.0,D20,D,10.0,4,0.6,3.2,5.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,N
492.0,D20,D,18.0,7,0.4,1.1,3.2,5.6,4.1,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,,N
493.0,D20,E,9.0,5,0.3,1.4,3.6,3.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
494.0,D20,E,2.0,3,0.3,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N
495.0,D20,E,10.0,5,0.3,1.7,3.6,3.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,N
496.0,D20,E,2.0,3,0.5,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
497.0,D20,E,26.0,7,0.6,3.0,7.0,7.6,4.2,3.3,0.7,,,,,,,,,,,,,,,,,,,,,,,N
498.0,D20,F,3.0,3,0.5,1.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
499.0,D20,F,2.0,3,0.4,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
500.0,D20,F,22.0,6,1.0,4.3,7.6,6.7,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
501.0,D20,F,13.0,5,0.8,2.2,4.0,4.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,N
502.0,D20,F,9.0,4,1.0,2.8,4.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,N
503.0,D20,F,13.0,5,0.6,2.0,3.8,5.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,N
504.0,D20,G,26.0,9,0.8,2.3,6.1,8.1,3.5,2.9,1.1,0.6,0.2,,,,,,,,,,,,,,,,,,,,,N
505.0,J19,A,7.0,5,0.2,0.6,2.3,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,N
506.0,J19,A,24.5,8,0.2,0.7,2.1,5.6,7.1,5.5,2.5,0.8,,,,,,,,,,,,,,,,,,,,,,N
507.0,J19,B,125.0,18,0.6,1.5,4.4,9.3,12.0,13.4,12.4,11.5,9.0,8.0,6.9,7.3,8.2,8.3,6.3,4.5,1.0,0.3,,,,,,,,,,,,N
508.0,J19,C,114.0,21,0.5,1.0,2.7,6.1,10.0,12.3,12.2,9.5,7.3,4.7,5.5,6.2,7.0,8.2,6.3,5.9,3.2,2.6,1.6,0.8,0.2,,,,,,,,,N
509.0,J19,D,25.0,8,0.3,1.0,2.5,7.2,7.3,5.0,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,N
510.0,J19,D,2.0,5,0.3,0.6,0.8,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
511.0,J19,D,16.0,7,0.2,0.6,1.5,4.3,5.1,3.5,0.7,,,,,,,,,,,,,,,,,,,,,,,N
512.0,J19,D,11.0,6,0.3,1.0,1.6,3.4,3.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,N
513.0,J19,E,26.0,7,0.6,1.2,5.6,6.5,6.2,4.3,1.2,,,,,,,,,,,,,,,,,,,,,,,N
514.0,J19,F,10.0,6,0.2,0.7,1.3,3.5,3.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,N
515.0,J19,F,114.0,20,0.5,1.3,3.2,7.2,10.1,9.8,9.5,8.3,6.3,5.0,6.5,7.5,8.6,9.1,6.2,5.1,5.0,2.8,1.2,0.6,,,,,,,,,,N
516.0,J19,G,8.0,5,0.7,1.5,3.5,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
517.0,J19,G,6.0,5,0.2,0.7,1.8,2.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,N
518.0,J19,G,1.5,3,0.2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
519.0,J19,G,4.0,4,0.6,0.9,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
520.0,J19,G,88.0,18,0.6,2.2,5.1,8.6,8.2,8.5,6.6,5.7,4.3,4.4,5.5,7.2,6.5,5.1,4.3,3.3,1.5,0.3,,,,,,,,,,,,N
521.0,O33,A,62.0,12,0.6,3.3,7.5,8.6,8.5,7.9,7.4,6.7,5.4,4.0,2.2,0.3,,,,,,,,,,,,,,,,,,N
522.0,O33,B,5.0,4,0.5,2.6,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
523.0,O33,B,3.0,3,0.4,1.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
524.0,O33,B,2.5,4,0.2,1.0,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
525.0,O33,B,8.0,5,0.2,1.6,4.1,1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
526.0,O33,B,26.0,6,1.1,5.1,8.5,6.6,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,N
527.0,O33,B,14.0,5,0.8,2.5,6.3,3.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,N
528.0,O33,B,79.5,16,0.6,2.8,7.7,10.8,10.3,8.7,7.5,6.3,4.6,4.6,4.3,4.7,3.0,2.1,1.2,0.3,,,,,,,,,,,,,,N
529.0,O33,C,29.0,7,0.6,3.3,9.4,8.6,5.2,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,N
530.0,O33,D,91.0,17,0.5,2.1,7.2,11.6,9.6,8.9,8.4,6.4,5.6,6.6,5.5,5.1,4.2,3.6,3.3,1.8,0.8,,,,,,,,,,,,,N
531.0,O33,D,39.0,10,0.6,1.6,6.2,7.3,7.2,5.6,4.2,3.7,2.0,0.5,,,,,,,,,,,,,,,,,,,,N
532.0,O33,E,20.0,7,0.3,1.4,3.8,6.2,5.4,2.8,0.2,,,,,,,,,,,,,,,,,,,,,,,N
533.0,O33,F,42.0,9,1.4,4.6,8.5,7.0,6.4,5.5,4.7,2.5,1.0,,,,,,,,,,,,,,,,,,,,,N
534.0,O33,F,37.0,9,0.6,2.5,6.6,7.7,6.8,5.4,4.1,2.3,0.6,,,,,,,,,,,,,,,,,,,,,N
535.0,O33,F,20.0,7,0.4,1.1,3.1,4.8,5.0,4.3,1.4,,,,,,,,,,,,,,,,,,,,,,,N
536.0,O33,G,195.0,24,0.6,3.9,8.9,12.3,13.6,15.6,16.1,12.8,13.4,13.8,13.6,12.7,11.4,9.8,7.8,5.9,4.5,4.8,4.7,4.0,2.9,1.2,0.7,0.3,,,,,,N
537.0,D19,A,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
538.0,D19,A,2.0,3,0.4,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
539.0,D19,A,9.0,5,0.4,1.1,3.7,3.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,N
540.0,D19,A,12.0,6,0.6,1.4,3.0,4.0,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,N
541.0,D19,A,1.0,3,0.3,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
542.0,D19,A,2.0,3,0.3,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
543.0,D19,A,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
544.0,D19,A,10.0,5,0.5,1.1,3.2,3.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,N
545.0,D19,B,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
546.0,D19,B,15.5,6,0.3,1.9,3.5,5.0,3.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,N
547.0,D19,B,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
548.0,D19,B,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
549.0,D19,B,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
550.0,D19,B,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
551.0,D19,B,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
552.0,D19,B,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
553.0,D19,B,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
554.0,D19,B,28.0,8,0.3,2.0,4.5,6.3,7.1,5.1,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,N
555.0,D19,B,32.0,8,0.5,2.5,5.0,7.5,7.4,5.1,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,N
556.0,D19,C,2.0,4,0.3,0.6,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
557.0,D19,C,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
558.0,D19,C,15.0,7,0.2,1.5,3.0,4.1,4.3,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,N
559.0,D19,C,18.0,6,0.3,1.5,3.6,5.6,4.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,N
560.0,D19,C,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
561.0,D19,C,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
562.0,D19,C,1.0,3,0.3,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
563.0,D19,C,18.0,6,0.4,1.5,3.7,5.7,4.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,N
564.0,D19,C,53.0,13,0.6,2.2,5.8,8.2,8.0,7.4,5.3,3.5,3.6,3.2,3.5,1.3,0.5,,,,,,,,,,,,,,,,,N
565.0,D19,D,1.5,3,0.3,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
566.0,D19,D,5.0,4,0.5,1.6,2.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,N
567.0,D19,D,16.0,6,0.4,1.5,4.5,5.5,3.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,N
568.0,D19,D,44.0,10,0.6,2.5,6.5,9.5,9.0,7.3,4.7,2.5,1.3,0.3,,,,,,,,,,,,,,,,,,,,N
569.0,D19,D,48.0,13,1.0,2.8,7.9,10.0,6.3,5.2,3.5,2.7,2.4,2.7,2.3,1.3,0.2,,,,,,,,,,,,,,,,,N
570.0,D19,D,41.0,10,0.5,2.0,5.4,8.1,8.3,6.8,4.8,3.1,1.8,0.2,,,,,,,,,,,,,,,,,,,,N
571.0,D19,E,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
572.0,D19,E,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
573.0,D19,E,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
574.0,D19,E,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
575.0,D19,E,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
576.0,D19,E,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
577.0,D19,E,2.0,3,0.5,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
578.0,D19,E,2.0,3,0.5,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
579.0,D19,E,2.0,3,0.3,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
580.0,D19,E,2.0,4,0.3,0.8,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
581.0,D19,E,2.0,3,0.5,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
582.0,D19,E,7.0,5,0.5,1.0,1.7,2.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,N
583.0,D19,E,10.5,6,0.3,0.7,1.8,3.4,3.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,N
584.0,D19,F,19.0,8,0.3,2.0,3.8,4.5,3.0,3.0,2.0,0.7,,,,,,,,,,,,,,,,,,,,,,N
585.0,D19,F,3.0,4,0.5,1.1,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
586.0,D19,F,13.0,11,0.3,1.5,2.6,3.4,2.0,1.5,0.7,0.4,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,N
587.0,D19,F,39.5,10,0.5,1.7,4.3,7.8,7.1,5.1,4.2,4.5,3.8,0.5,,,,,,,,,,,,,,,,,,,,N
588.0,D19,F,31.0,12,0.6,1.5,3.8,7.5,6.4,3.5,2.2,1.5,1.1,1.0,1.2,1.0,,,,,,,,,,,,,,,,,,N
589.0,D19,G,3.0,3,0.3,1.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N
590.0,D19,G,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
591.0,D19,G,2.0,3,0.4,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
592.0,D19,G,1.0,3,0.3,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
593.0,D19,G,1.0,3,0.2,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
594.0,D19,G,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
595.0,D19,G,3.0,4,0.2,1.3,1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
596.0,D19,G,2.0,3,0.3,1.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
597.0,D19,G,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
598.0,D19,G,13.0,5,0.8,1.2,4.6,4.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,N
599.0,D19,G,30.0,8,0.6,2.2,4.7,6.1,7.3,5.5,2.9,1.0,,,,,,,,,,,,,,,,,,,,,,N
600.0,J8,A,108.0,20,0.5,1.5,4.0,9.0,9.4,8.7,8.3,7.0,5.7,5.3,5.4,7.1,7.0,6.5,7.2,5.1,5.2,3.3,1.5,0.5,,,,,,,,,,N
601.0,J8,B,5.0,5,0.5,0.8,1.7,1.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
602.0,J8,B,2.0,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
603.0,J8,B,1.0,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
604.0,J8,B,3.0,3,0.5,1.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
605.0,J8,B,5.0,4,0.3,1.6,2.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,N
606.0,J8,B,21.0,7,0.3,1.1,3.6,7.5,5.0,3.2,0.7,,,,,,,,,,,,,,,,,,,,,,,N
607.0,J8,C,27.0,8,1.1,2.3,5.9,6.7,5.7,4.1,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,N
608.0,J8,D,1.5,4,0.2,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
609.0,J8,D,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
610.0,J8,D,73.0,17,0.9,2.5,4.8,7.3,7.4,8.0,6.4,4.5,4.2,4.6,4.8,4.6,4.3,3.5,2.7,1.7,0.7,,,,,,,,,,,,,N
611.0,J8,D,70.0,17,0.5,1.8,3.2,6.7,7.1,6.8,6.1,5.2,5.5,4.0,4.0,3.5,4.8,5.7,3.5,1.0,0.4,,,,,,,,,,,,,N
612.0,J8,E,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
613.0,J8,E,2.0,4,0.3,0.5,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
614.0,J8,E,25.0,7,0.5,1.1,3.4,9.0,6.6,3.3,1.0,,,,,,,,,,,,,,,,,,,,,,,N
615.0,J8,E,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
616.0,J8,E,1.0,3,0.3,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
617.0,J8,E,28.0,9,0.5,1.1,3.0,6.9,6.8,5.8,2.7,1.2,0.3,,,,,,,,,,,,,,,,,,,,,N
618.0,J8,E,47.0,13,0.3,1.0,2.8,6.4,6.6,8.1,6.5,5.0,4.0,3.0,1.6,1.0,0.5,,,,,,,,,,,,,,,,,N
619.0,J8,E,1.0,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
620.0,J8,E,1.5,4,0.2,0.5,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
621.0,J8,E,10.0,8,0.5,1.0,2.3,2.5,1.7,1.5,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,N
622.0,J8,F,2.0,3,0.2,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N
623.0,J8,F,8.0,5,0.3,1.0,2.3,3.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,N
624.0,J8,F,57.0,15,0.7,2.4,5.7,4.4,6.8,6.9,5.1,4.8,5.2,4.5,4.4,3.5,1.8,0.9,0.2,,,,,,,,,,,,,,,N
625.0,J8,F,13.0,6,0.5,3.9,4.9,2.2,1.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,N
626.0,J8,F,20.0,9,0.5,2.0,5.6,6.8,2.8,1.3,0.7,0.3,0.2,,,,,,,,,,,,,,,,,,,,,N
627.0,J10,A,43.5,9,0.5,1.2,4.8,11.1,12.0,8.6,4.0,1.1,0.2,,,,,,,,,,,,,,,,,,,,,N
628.0,J10,A,37.0,10,0.5,2.8,7.3,10.7,8.5,5.1,1.2,0.5,0.2,0.2,,,,,,,,,,,,,,,,,,,,N
629.0,J10,B,2.0,5,0.2,0.5,0.6,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
630.0,J10,B,3.0,5,0.2,0.5,0.8,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
631.0,J10,B,3.0,4,0.2,0.6,1.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
632.0,J10,B,24.0,8,0.5,1.3,4.8,6.7,4.8,3.8,1.8,0.6,,,,,,,,,,,,,,,,,,,,,,N
633.0,J10,C,47.0,8,0.2,1.4,9.9,12.2,9.7,7.1,4.0,2.3,,,,,,,,,,,,,,,,,,,,,,N
634.0,J10,C,58.0,8,1.6,5.3,11.5,13.2,11.2,8.4,4.0,2.6,,,,,,,,,,,,,,,,,,,,,,N
635.0,J10,C,89.0,16,1.5,4.2,10.5,12.8,11.5,10.0,6.8,6.0,5.2,4.8,4.3,3.0,3.1,2.6,1.8,0.5,,,,,,,,,,,,,,N
636.0,J10,D,58.0,10,0.5,1.8,4.6,10.1,12.9,11.8,8.6,5.3,2.3,0.5,,,,,,,,,,,,,,,,,,,,N
637.0,J10,E,57.0,12,0.6,2.1,6.1,9.2,7.8,5.0,5.3,8.2,7.3,3.6,1.2,0.2,,,,,,,,,,,,,,,,,,N
638.0,J10,E,12.0,6,0.3,0.9,2.2,4.5,3.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,N
639.0,J10,E,18.0,8,0.5,1.3,2.9,5.9,3.9,2.5,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,N
640.0,J10,E,6.0,6,0.3,1.0,1.1,1.5,1.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,N
641.0,J10,E,40.0,13,0.2,0.9,1.5,2.5,5.1,7.3,6.0,4.7,4.2,3.8,2.3,1.1,0.4,,,,,,,,,,,,,,,,,N
642.0,J10,F,13.0,6,0.2,0.6,1.7,4.5,4.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,N
