Actual Time,Age,Community Building,Community Membership_Family,Community Membership_Hobbies,Community Membership_None,Community Membership_Other,Community Membership_Political,Community Membership_Professional,Community Membership_Religious,Community Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not Impaired,Disability_Not Say,Disability_Vision,Education Attainment,Falsification of Information,Gender,Household Income,How You Heard About Survey_Banner,How You Heard About Survey_Friend,How You Heard About Survey_Mailing List,How You Heard About Survey_Others,How You Heard About Survey_Printed Media,How You Heard About Survey_Remebered,How You Heard About Survey_Search Engine,How You Heard About Survey_Usenet News,How You Heard About Survey_WWW Page,Major Geographical Location,Major Occupation,Marital Status,Most Import Issue Facing the Internet,Opinions on Censorship,Primary Computing Platform,Primary Language,Primary Place of WWW Access,Race,Not Purchasing_Bad experience,Not Purchasing_Bad press,Not Purchasing_Cant find,Not Purchasing_Company policy,Not Purchasing_Easier locally,Not Purchasing_Enough info,Not Purchasing_Judge quality,Not Purchasing_Never tried,Not Purchasing_No credit,Not Purchasing_Not applicable,Not Purchasing_Not option,Not Purchasing_Other,Not Purchasing_Prefer people,Not Purchasing_Privacy,Not Purchasing_Receipt,Not Purchasing_Security,Not Purchasing_Too complicated,Not Purchasing_Uncomfortable,Not Purchasing_Unfamiliar vendor,Registered to Vote,Sexual Preference,Web Ordering,Web Page Creation,Who Pays for Access_Don't Know,Who Pays for Access_Other,Who Pays for Access_Parents,Who Pays for Access_School,Who Pays for Access_Self,target
Retired,75.0,More,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,Special,Never,Male,$40-49,0,0,0,0,0,0,0,1,0,USA,Other,Married,Encryption,2,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,32.0,More,1,0,0,1,1,0,0,1,Georgia,0,0,0,1,0,0,College,51-75,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Other,Privacy,2,Win95,English,Primarily work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,Yes,Lesbian,Yes,Yes,0,0,0,0,0,1
Other,44.0,Dont Know,0,0,1,0,0,0,0,0,Massachusetts,0,0,0,0,1,0,College,nan,Male,Not Say,0,0,0,0,0,0,1,0,0,USA,Other,Married,Privacy,1,Win95,English,Work,Other,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not Say,Heterosexual,No,No,0,0,0,0,0,1
Other,,Dont Know,0,1,0,0,0,0,0,0,Missouri,0,0,0,1,0,0,Some College,nan,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,2,nan,English,Home,White,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,36.0,Equally,1,1,0,0,0,1,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Other,3,Win95,English,Primarily home,White,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,1,1,1
Other,27.0,Dont Know,0,1,0,0,0,0,0,0,Ohio,0,0,0,1,0,0,Some College,Not Say,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Not Say,Censorship,1,nan,English,Home,Not Say,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,Yes,Not say,No,Yes,0,0,0,0,1,0
College Student,19.0,Dont Know,0,0,1,0,0,0,0,0,Wisconsin,0,0,0,1,0,0,Some College,Under 25,Female,$40-49,0,0,0,1,0,0,0,0,0,USA,Education,Single,Privacy,4,Win95,English,Primarily home,Hispanic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,1,0,0
Marketing Professional,36.0,More,0,1,0,0,0,1,0,0,Georgia,0,0,0,1,0,0,Masters,26-50,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Taxes,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
K-12 Educator,52.0,More,0,0,0,0,0,1,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Female,Over $100,0,0,0,1,0,0,0,0,0,USA,Education,Married,Encryption,3,Macintosh,English,Primarily home,White,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,,Dont Know,0,0,0,1,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some College,Never,Male,$50-74,1,0,0,0,0,0,0,0,0,USA,Management,Married,Privacy,1,nan,English,Home,Black,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Homemaker,35.0,Equally,1,0,0,0,0,0,0,0,Florida,0,0,0,1,0,0,Other,Never,Female,Under $10,1,0,0,0,0,0,0,0,0,USA,Other,Married,Navigation,2,nan,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Dont know,No,0,0,0,0,1,0
College Student,21.0,Dont Know,0,0,1,0,0,0,0,0,Michigan,0,0,0,1,0,0,Some College,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Other,1,Macintosh,English,Primarily home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,1,1,0,0
College Student,24.0,Dont Know,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,College,26-50,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Education,Single,Encryption,2,Unix,English,School,White,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,1
Manager,20.0,More,0,0,0,1,0,0,0,0,New York,0,0,0,1,0,0,Some College,Never,Male,$10-19,0,0,0,0,0,0,1,0,0,USA,Management,Single,Navigation,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,44.0,More,1,1,0,0,0,0,0,0,Nevada,0,0,0,1,0,0,Some College,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Computer,Divorced,Privacy,2,nan,English,Home,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0
College Student,19.0,More,0,1,0,1,1,1,0,0,Netherlands,0,0,0,1,0,0,Some College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,Europe,Education,Single,Taxes,2,Win95,Dutch,School,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,1,0,0
Engineer,51.0,Dont Know,0,0,1,0,0,0,0,0,Georgia,0,0,0,1,0,0,Doctoral,Never,Male,$75-99,1,0,0,0,0,0,0,0,0,USA,Professional,Married,Censorship,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
IS,23.0,More,0,0,0,0,0,0,0,1,Taiwan,0,0,0,1,0,0,College,51-75,Female,Not Say,0,1,0,0,0,0,0,0,0,Asia,Computer,Single,Navigation,4,Win95,Chinese,Primarily work,Asian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Not say,Yes,Yes,0,0,0,0,0,1
Physician,42.0,More,1,1,0,0,0,0,0,0,Ohio,0,0,0,1,0,0,Professional,nan,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Professional,Divorced,Privacy,3,nan,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,1,0,0,0
Other,20.0,More,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Special,Over 75,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Privacy,1,Win95,English,Primarily home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0
K-12 Educator,44.0,Equally,1,1,0,0,0,0,0,0,California,0,0,0,1,0,0,College,Never,Female,$50-74,0,0,0,0,0,0,0,1,1,USA,Education,Single,Taxes,4,nan,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,24.0,Dont Know,0,0,0,0,0,1,0,0,Florida,0,0,0,1,0,0,College,26-50,Male,$20-29,0,0,0,1,0,0,0,0,0,USA,Computer,Single,Censorship,3,Macintosh,English,Primarily work,White,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
Other,25.0,More,0,1,0,0,0,1,0,0,California,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Censorship,1,Macintosh,English,Primarily work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
Retired,70.0,Dont Know,1,0,0,0,0,0,0,0,Florida,0,0,0,1,0,0,College,nan,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Other,Single,Navigation,2,nan,English,Home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Gay male,No,No,0,0,0,0,1,0
Other,31.0,More,1,1,0,1,0,0,0,0,Florida,0,0,0,1,0,0,College,nan,Female,$20-29,1,0,0,0,0,0,0,0,1,USA,Other,Single,Navigation,1,nan,English,Home,White,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
CEO,40.0,More,0,1,0,0,0,1,0,1,Oregon,0,0,0,1,0,0,High School,Never,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Management,Married,Censorship,1,Win95,English,Primarily work,White,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Lesbian,Yes,Yes,0,0,0,0,1,0
Networking,21.0,More,0,1,0,0,0,0,0,0,Illinois,0,0,0,1,0,0,Some College,Under 25,Male,$30-39,0,0,0,1,0,0,0,0,0,USA,Computer,Other,Censorship,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Self Employed,49.0,More,0,0,0,0,0,0,0,1,Indiana,0,0,0,1,0,0,Some College,Never,Female,$50-74,0,0,0,1,1,0,0,0,0,USA,Management,Married,Censorship,3,nan,English,Home,White,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Health Care Worker,51.0,More,0,1,0,0,0,0,1,1,New Mexico,0,0,0,0,0,1,Some College,Under 25,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Privacy,1,nan,English,Primarily home,White,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,Yes,Gay male,Yes,No,0,0,0,0,1,0
Programmer,43.0,Equally,0,1,0,1,0,1,0,0,Virginia,0,0,0,1,0,0,College,Under 25,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Privacy,1,NT,English,Primarily home,Black,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,Yes,Lesbian,No,No,0,0,0,0,1,1
Other,45.0,Dont Know,0,0,0,0,0,1,0,0,Michigan,0,0,0,1,0,0,Masters,Under 25,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Management,Married,Navigation,4,Macintosh,English,Primarily work,White,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
College Student,21.0,More,0,1,0,0,0,0,0,0,United Kingdom,0,0,0,1,0,0,College,Under 25,Male,$30-39,0,0,0,0,0,0,0,0,1,Europe,Education,Single,Encryption,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0
Administrator/Secretary,38.0,Dont Know,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,Some College,Never,Female,$40-49,0,0,0,0,0,0,0,0,1,USA,Other,Other,Navigation,1,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Mircocomputer,30.0,More,0,1,0,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Some College,26-50,Male,$30-39,0,0,0,0,0,0,1,0,0,USA,Computer,Other,Privacy,1,Win95,English,Primarily work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
Attorney/Judge,59.0,Dont Know,0,0,1,0,0,0,0,0,Delaware,0,0,0,1,0,0,Professional,Never,Male,Not Say,0,0,0,0,0,0,0,1,1,USA,Professional,Married,Privacy,1,nan,English,Primarily home,White,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,22.0,Equally,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Education,Single,Dont Know,4,Macintosh,English,Primarily work,White,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,Yes,Heterosexual,No,No,0,0,0,1,0,0
Other,40.0,Equally,0,1,0,0,1,0,0,0,Missouri,0,0,0,1,0,0,Some College,nan,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Single,Other,1,Win95,English,Home,White,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Looking,36.0,More,1,1,0,1,1,1,1,1,Minnesota,0,0,0,1,0,0,Some College,Over 75,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,1,nan,English,Home,White,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,No,Heterosexual,No,Yes,0,0,0,0,1,0
Programmer,48.0,Dont Know,0,1,0,0,0,0,0,0,Kansas,0,0,0,1,0,0,Some College,Never,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Computer,Married,Privacy,1,Win95,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Nurse,,Equally,0,1,0,1,0,1,0,1,New York,0,0,0,1,0,0,College,Under 25,Female,$30-39,0,0,0,0,1,0,0,0,1,USA,Professional,Not Say,Privacy,1,nan,English,Home,White,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,Yes,Not say,Yes,No,0,0,0,0,1,0
Service Industry Occupation,23.0,Equally,0,0,0,1,0,0,0,0,South Carolina,0,0,0,1,0,0,High School,Under 25,Male,$10-19,0,0,1,0,0,0,0,0,0,USA,Other,Not Say,Privacy,2,nan,English,Home,Black,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Yes,Gay male,No,Yes,0,0,0,0,1,0
Other,26.0,Equally,0,0,0,0,1,0,0,0,Australia,0,0,0,1,0,0,Masters,Under 25,Female,Not Say,0,0,0,0,0,0,0,0,1,Oceania,Computer,Other,Censorship,4,Win95,English,Primarily work,White,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Yes,Lesbian,Yes,Yes,0,0,0,0,0,1
Health Care Worker,46.0,More,0,0,1,0,0,0,0,0,Wisconsin,0,0,0,1,0,0,High School,Under 25,Female,Under $10,0,0,0,0,0,0,0,0,1,USA,Other,Separated,Privacy,4,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0
Manager,28.0,More,0,1,0,0,0,1,0,0,Switzerland,0,0,0,1,0,0,Masters,Never,Female,$75-99,0,0,0,0,1,0,0,0,0,Europe,Management,Other,Taxes,2,Windows,French,Primarily work,Other,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Not say,Yes,Yes,0,0,0,0,0,1
Other,31.0,Equally,1,1,0,1,0,1,0,0,Brazil,0,0,0,1,0,0,College,Never,Male,Over $100,0,0,0,1,0,0,0,0,0,South America,Computer,Married,Other,1,Macintosh,English,Home,White,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Civil Servant,37.0,More,0,1,0,1,1,0,0,1,New York,0,0,0,1,0,0,High School,Under 25,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Single,Privacy,1,nan,English,Home,White,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,1,0
Other,37.0,More,0,0,0,0,0,1,0,0,California,0,0,0,1,0,0,Some College,nan,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Professional,Married,Censorship,1,nan,English,Primarily home,Latino,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Not say,No,No,0,0,0,0,1,0
Retired,44.0,Dont Know,0,0,1,0,0,0,0,0,Colorado,0,0,0,0,1,0,Some College,Not Say,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Navigation,3,nan,English,Home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,Yes,Not say,Yes,No,0,0,0,0,1,0
College Educator,44.0,More,1,1,0,1,1,1,1,1,Arizona,0,0,0,1,0,0,Some College,Never,Male,$50-74,1,0,0,0,0,0,1,0,0,USA,Education,Married,Censorship,1,Macintosh,English,Primarily work,White,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,1,1
Service Industry Occupation,20.0,Less,0,0,0,1,0,0,0,0,Colorado,0,0,0,0,0,1,Some College,Never,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Dont Know,3,NT,English,Home,Hispanic,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,1,0,0,0
College Student,18.0,More,1,1,0,0,0,1,0,0,Ohio,0,0,0,1,0,0,High School,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Taxes,2,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,No,No,0,0,0,0,1,0
Other,20.0,More,0,1,0,1,1,0,0,1,Washington,0,0,0,0,1,0,High School,Under 25,Male,Not Say,0,0,0,1,0,0,0,0,0,USA,Education,Single,Dont Know,4,nan,Spanish,Other,Hispanic,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,No,Gay male,No,No,0,0,0,0,1,0
Networking,35.0,Equally,0,1,0,0,0,1,0,0,New York,0,0,0,1,0,0,High School,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Privacy,3,nan,English,Primarily home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Not say,Yes,No,0,0,0,0,1,0
Consultant,52.0,Equally,0,0,0,0,0,1,0,0,New Jersey,0,0,0,1,0,0,Doctoral,26-50,Female,Over $100,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,1,nan,English,School,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Civil Servant,29.0,More,0,1,0,0,0,0,0,0,New Jersey,0,0,0,1,0,0,Some College,Never,Male,$75-99,1,0,0,0,0,0,0,0,0,USA,Other,Single,Censorship,1,nan,English,Home,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Manager,5.0,Equally,0,0,0,0,0,0,0,1,Arkansas,0,0,0,1,0,0,Some College,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Management,Married,Dont Know,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
K-12 Student,17.0,Dont Know,0,0,1,0,0,0,0,0,Ontario,0,0,0,1,0,0,High School,Under 25,Female,Not Say,0,0,0,0,0,0,0,0,1,Canada,Education,Single,Navigation,4,Macintosh,English,Friend,Asian,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,Not Say,Heterosexual,No,No,1,0,0,0,0,0
Retired,60.0,Equally,1,0,0,0,0,0,0,0,Washington,0,0,0,1,0,0,College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Privacy,1,Win95,English,Home,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
K-12 Student,27.0,Less,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,College,Under 25,Male,Under $10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Other,1,nan,English,Home,Hispanic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Engineer,42.0,Dont Know,0,0,1,0,0,0,0,0,United Kingdom,0,0,0,1,0,0,College,Under 25,Male,Not Say,1,0,0,0,0,0,0,0,0,Europe,Professional,Single,Taxes,3,Win95,English,Home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Homemaker,48.0,More,1,1,0,0,0,0,0,0,Massachusetts,0,0,0,1,0,0,High School,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Other,Married,Navigation,3,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,1,0,0,0,0
Retired,64.0,Equally,0,0,0,0,0,0,1,0,Maryland,0,0,0,1,0,0,Some College,Never,Male,$10-19,1,0,0,0,0,0,0,0,0,USA,Other,Separated,Navigation,1,nan,English,Home,Black,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,43.0,Equally,0,0,0,0,0,1,0,0,Texas,0,0,0,1,0,0,Some College,Over 75,Female,$75-99,0,0,0,0,0,0,0,0,1,USA,Computer,Other,Taxes,3,Win95,English,Primarily home,Hispanic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Lesbian,Yes,Yes,0,0,0,0,1,0
Technician,41.0,More,0,0,1,0,0,0,0,0,Connecticut,0,0,0,1,0,0,Other,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Dont Know,3,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,52.0,More,1,0,0,0,0,1,1,0,Australia,0,0,0,1,0,0,Masters,Never,Female,$30-39,0,0,1,0,0,0,0,0,0,Oceania,Professional,Divorced,Privacy,1,Win95,English,Primarily work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Other,27.0,Equally,0,1,0,0,1,1,0,0,Massachusetts,0,0,0,1,0,0,College,Under 25,Male,$50-74,0,0,1,0,0,0,0,0,0,USA,Computer,Other,Culture,2,Win95,English,Primarily work,Other,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Not say,Yes,Yes,0,0,0,0,0,1
Administrator/Secretary,54.0,Dont Know,0,0,1,0,0,0,0,0,New Jersey,0,0,0,1,0,0,Some College,Never,Female,$50-74,0,0,0,0,0,0,0,1,0,USA,Other,Married,Navigation,4,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Service Industry Occupation,47.0,More,0,1,0,0,0,0,0,0,New York,0,0,0,0,0,1,Some College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Privacy,4,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Engineer,29.0,Equally,1,0,0,0,0,0,0,0,New Jersey,0,0,0,1,0,0,Doctoral,Never,Male,Over $100,0,0,1,0,0,0,0,0,0,USA,Professional,Married,Privacy,2,Macintosh,English,Primarily work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Consultant,51.0,More,1,0,0,0,0,1,0,1,Quebec,0,0,0,1,0,0,College,nan,Female,$40-49,0,0,0,1,0,0,0,0,0,Canada,Professional,Married,Privacy,1,Win95,French,Primarily work,Other,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Not Applicable,Heterosexual,No,No,0,0,0,0,0,1
Other,52.0,More,1,0,0,0,0,1,0,0,New Brunswick,0,0,0,1,0,0,Some College,nan,Female,Under $10,0,0,0,0,0,0,0,0,1,Canada,Education,Widowed,Privacy,1,Win95,English,Primarily work,White,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,Not Applicable,Heterosexual,Yes,No,0,0,0,0,1,1
Marketing Professional,30.0,More,1,1,0,1,0,1,1,1,California,0,0,0,0,0,1,Masters,Never,Female,$40-49,0,1,0,0,0,0,0,0,0,USA,Professional,Single,Censorship,3,Win95,English,Work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
Looking,52.0,More,1,1,0,0,0,1,0,1,Virginia,0,0,1,0,0,0,College,Not Say,Male,Under $10,0,0,0,0,0,0,1,0,0,USA,Other,Single,Other,1,Macintosh,English,Other,White,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Not Say,Heterosexual,Yes,No,0,0,0,0,1,0
Consultant,25.0,Dont Know,0,0,1,0,0,0,0,0,Massachusetts,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,3,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,1,0,0
College Educator,31.0,More,0,1,0,0,0,1,1,0,Ohio,0,0,0,1,0,0,Masters,Never,Female,Not Say,0,0,0,0,0,0,1,0,0,USA,Education,Single,Privacy,3,Windows,English,Work,White,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
